Rank,City,Country,2020,2019,Change
589,Mudanjiang,China,925522,9032,1.70
590,Agadir,Morocco,923552,5649,1.98
591,Arequipa,Peru,922999,911311,1.28
592,Nyala,Sudan,922532,8737,5.07
593,Hamah,Syria,921502,65,1.63
594,Jacksonville,United States,920577,9117,1.00
595,Tshikapa,Dr Congo,919192,86,5.77
596,Dehradun,India,918946,894925,2.68
597,Veracruz,Mexico,918529,66,1.26
598,Yichun Jiangxi,China,918051,859349,6.83
599,Ciudad Guayana,Venezuela,917700,0874,1.87
600,Zamboanga City,Philippines,917477,5281,1.35
601,Dushanbe,Tajikistan,915712,893826,2.45
602,Pathum Thani,Thailand,913741,1466,1.36
603,Jiujiang,China,913212,889447,2.67
604,Ulsan,South Korea,910330,9162,0.02
605,Laiwu,China,907839,8451,3.11
606,Rajshahi,Bangladesh,907732,893214,1.63
607,Columbus,United States,906237,898553,0.86
608,Donetsk,Ukraine,905530,911981,-0.71
609,San Pedro Sula,Honduras,902751,876445,3.00
610,Bengbu,China,901773,889163,1.42
611,Liverpool,United Kingdom,901708,897218,0.50
612,Oran,Algeria,899182,889644,1.07
613,Reynosa,Mexico,899084,82,2.06
614,Charlotte,United States,898902,8858,1.49
615,Villahermosa,Mexico,898461,883336,1.71
616,West Rand,South Africa,897609,886343,1.27
617,Campo Grande,Brazil,896864,886361,1.18
618,Jos,Nigeria,895288,875746,2.23
619,Bergamo,Italy,892089,883295,1.00
620,Zhucheng,China,891494,855579,4.20
621,Guigang,China,891173,864577,3.08
622,Guiping,China,891158,843956,5.59
623,Yangjiang,China,890013,867562,2.59
624,Bangui,Central African Republic,889231,869599,2.26
625,Malang,Indonesia,886620,878589,0.91
626,Londrina,Brazil,885516,871682,1.59
627,La Plata,Argentina,884054,873918,1.16
628,Indianapolis,United States,881808,876384,0.62
629,Misratah,Libya,881319,841267,4.76
630,Antipolo,Philippines,881018,85,2.55
631,Concepcion,Chile,880722,869186,1.33
632,Chengde,China,880494,839566,4.87
633,Dandong,China,877258,865354,1.38
634,San Francisco,United States,874961,874961,0.00
635,Najaf,Iraq,873744,8467,3.19
636,Owerri,Nigeria,872604,838554,4.06
637,Zhangzhou,China,871690,841966,3.53
638,Tianmen,China,869837,8064,3.54
639,Hermosillo,Mexico,867885,851738,1.90
640,Trujillo,Peru,864633,851312,1.56
641,Bhiwandi,India,859435,845711,1.62
642,Linfen,China,858103,824417,4.09
643,Xinyu,China,857567,823491,4.14
644,Deyang,China,857306,8285,3.50
645,Hengshui,China,856705,8969,4.35
646,Warri,Nigeria,855941,8163,5.14
647,Liaoyang,China,855663,8417,1.65
648,Guntur,India,854488,833782,2.48
649,Soshanguve,South Africa,853347,8932,1.48
650,Sylhet,Bangladesh,851808,813538,4.70
651,Palermo,Italy,851146,852454,-0.15
652,Leiyang,China,851071,4564,5.78
653,Tainan,Taiwan,849996,843219,0.80
654,Nampula,Mozambique,848096,8633,4.62
655,Tuxtla Gutierrez,Mexico,847924,83,2.09
656,Erbil,Iraq,846374,833237,1.58
657,Changzhi,China,846365,824378,2.67
658,Ashgabat,Turkmenistan,846255,8265,2.20
659,Taiz,Yemen,845154,8153,3.66
660,Bahawalpur,Pakistan,844673,8047,3.00
661,Jiangyin,China,843292,8972,3.99
662,Tyumen,Russia,843196,817265,3.17
663,Saratov,Russia,842680,844777,-0.25
664,Fuxin,China,839189,828643,1.27
665,Culiacan,Mexico,839054,821781,2.10
666,Hufuf Mubarraz,Saudi Arabia,836727,8274,1.41
667,Puducherry,India,836003,815939,2.46
668,Libreville,Gabon,834204,8238,1.25
669,Valencia,Spain,833724,831815,0.23
670,Bucheon,South Korea,832093,835259,-0.38
671,Xingtai,China,831175,812888,2.25
672,Changde,China,830010,6331,2.94
673,Huangshi,China,828324,812772,1.91
674,Lubango,Angola,828248,786713,5.28
675,Shangqiu,China,826598,2826,2.96
676,Quebec City,Canada,826109,8752,0.65
677,Banghazi,Libya,823974,811293,1.56
678,Luzhou,China,822996,813315,1.19
679,Baishan,China,821967,783588,4.90
680,Firozabad,India,821043,796264,3.11
681,Winnipeg,Canada,816593,8419,1.01
682,Yibin,China,814166,797639,2.07
683,Ipoh,Malaysia,813553,799785,1.72
684,Liling,China,812975,767636,5.91
685,Thessaloniki,Greece,812166,811435,0.09
686,Newcastle Upon Tyne,United Kingdom,809481,5364,0.51
687,Bologna,Italy,805986,2849,0.39
688,Niigata,Japan,804298,6723,-0.30
689,Xinyang,China,797369,777817,2.51
690,Heze,China,795246,786745,1.08
691,Yangquan,China,794262,7748,2.50
692,Barcelona Puerto La Cruz,Venezuela,793641,782636,1.41
693,Orumiyeh,Iran,793044,7777,1.96
694,Xinghua,China,791297,766483,3.24
695,Nottingham,United Kingdom,787610,781151,0.83
696,Maiduguri,Nigeria,786485,772394,1.82
697,Sorocaba,Brazil,785997,7754,1.28
698,Eskisehir,Turkey,783669,765242,2.41
699,Haicheng,China,783484,772266,1.45
700,Xiaogan,China,783483,7482,3.02
701,Yongzhou,China,781940,753931,3.72
702,Cabinda,Angola,777697,736984,5.52
703,Zhuji,China,777536,758115,2.56
704,Frankfurt,Germany,777156,768616,1.11
705,Xalapa,Mexico,775620,7644,1.52
706,Huludao,China,775322,7634,1.93
707,Bogra,Bangladesh,775034,7299,6.23
708,Vereeniging,South Africa,774031,769425,0.60
709,Nakhon Ratchasima,Thailand,774022,764883,1.19
710,Umuahia,Nigeria,773822,731563,5.78
711,Enugu,Nigeria,772872,752323,2.73
712,Bikaner,India,771878,757726,1.87
713,Krakow,Poland,768731,7631,0.09
714,Jiaozuo,China,766770,758858,1.04
715,Hamilton,Canada,766688,7628,0.51
716,Tianshui,China,765372,739871,3.45
717,Seattle,United States,765115,753675,1.52
718,Cherthala,India,764135,726232,5.22
719,Kuerle,China,761329,7193,5.80
720,Shaoguan,China,761249,756232,0.66
721,Liaocheng,China,760885,743338,2.36
722,Ansan,South Korea,760764,758858,0.25
723,Gorakhpur,India,758214,7524,0.96
724,Quzhou,China,757655,7161,5.81
725,Cagayan De Oro City,Philippines,753138,736874,2.21
726,Amravati,India,752189,7529,1.57
727,Huaihua,China,751803,718467,4.64
728,Nellore,India,751034,7297,3.01
729,Taixing,China,747588,7253,3.07
730,Dasmarinas,Philippines,747208,7287,2.54
731,Gebze,Turkey,744674,7186,3.62
732,Kumamoto,Japan,742612,743559,-0.13
733,Bozhou,China,742150,73,4.48
734,Cuttack,India,742011,7332,1.20
735,Langfang,China,739632,715581,3.36
736,Sulaimaniya,Iraq,739182,7411,2.61
737,Ar Rayyan,Qatar,737903,715997,3.06
738,Kunshan,China,737654,58,4.56
739,Zigong,China,737291,728743,1.17
740,Bur Sa'id,Egypt,737000,723998,1.80
741,Zaporizhzhya,Ukraine,736167,7538,-0.59
742,Qingyuan,China,734856,7253,1.25
743,Jincheng,China,733879,3498,4.32
744,Banjarmasin,Indonesia,732005,77,1.62
745,Zaragoza,Spain,730828,727371,0.48
746,Sheffield,United Kingdom,730158,7262,0.70
747,Zarqa,Jordan,729220,7197,1.32
748,Anqing,China,726950,9177,2.51
749,Zaria,Nigeria,726172,7112,1.00
750,Belgaum,India,724747,7155,1.78
751,Okayama,Japan,724696,724948,-0.03
752,Lviv,Ukraine,723758,7252,-0.20
753,Meishan,China,723267,6942,3.76
754,Sao Jose Dos Campos,Brazil,721795,711673,1.42
755,Danyang,China,718649,693349,3.65
756,Cheongju,South Korea,717027,713273,0.53
757,Muzaffarnagar,India,716748,6953,3.73
758,Gaomi,China,716261,686786,4.29
759,Zhumadian,China,716002,683882,4.70
760,Jiamusi,China,715965,5995,1.41
761,Malegaon,India,715605,95,2.22
762,Hanchuan,China,715218,686163,4.23
763,Benguela,Angola,715130,686121,4.23
764,Xianyang Shaanxi,China,715007,76,1.09
765,Ribeirao Preto,Brazil,714111,37,1.48
766,Oshogbo,Nigeria,713677,698844,2.12
767,Gaza,Palestine,713621,693323,2.93
768,Shaoyang,China,713559,697769,2.26
769,Mangalore,India,713357,3413,1.41
770,Rasht,Iran,712715,3698,1.28
771,Washington,United States,709951,5749,0.60
772,Linhai,China,708981,685239,3.46
773,Buffalo City,South Africa,708559,0466,1.16
774,Florence,Italy,708357,7728,0.09
775,Panzhihua,China,707134,698149,1.29
776,Erduosi Ordoss,China,706657,682677,3.51
777,Denver,United States,705576,5576,0.00
778,Sialkot,Pakistan,705121,6447,2.13
779,Zanzibar,Tanzania,705078,676814,4.18
780,Oaxaca De Juarez,Mexico,704559,694297,1.48
781,Seville,Spain,703790,5325,-0.22
782,Tongliao,China,702280,683849,2.70
783,Jammu,India,702085,696856,0.75
784,Bhavnagar,India,700367,689884,1.52
785,Tolyatti,Russia,700252,4137,-0.55
786,Sargodha,Pakistan,700095,6886,1.75
787,Suining Sichuan,China,699679,682654,2.49
788,Gold Coast,Australia,699226,6874,1.71
789,The Hague,Netherlands,697564,691389,0.89
790,Tongling,China,696639,6771,2.87
791,Wuzhou,China,696630,677691,2.79
792,Kottayam,India,696061,6553,6.75
793,Yulin Shaanxi,China,695614,685262,1.51
794,Yanji,China,695165,6733,3.24
795,Kayamkulam,India,694892,6624,4.89
796,Maturin,Venezuela,694716,6377,3.63
797,Boston,United States,694053,6920,0.21
798,Lokoja,Nigeria,692050,6437,7.56
799,Longyan,China,691987,6986,1.62
800,Cotonou,Benin,691949,687732,0.61
801,Nanded Waghala,India,689771,674189,2.31
802,Taif,Saudi Arabia,688693,682959,0.84
803,Uberlandia,Brazil,686896,677984,1.31
804,Bacoor,Philippines,686398,668419,2.69
805,Bristol,United Kingdom,686210,678612,1.12
806,Kitwe,Zambia,685908,663455,3.38
807,Zagreb,Croatia,684878,685233,-0.05
808,Salta,Argentina,684751,672335,1.85
809,Padova,Italy,683604,679147,0.66
810,El Paso,United States,683581,681728,0.27
811,Vientiane,Laos,682542,6761,1.41
812,Dazhou,China,682342,658956,3.55
813,Anqiu,China,682299,6422,6.24
814,Bali,Indonesia,682065,6685,2.02
815,Celaya,Mexico,680971,6721,1.26
816,Cheonan,South Korea,679802,6256,1.42
817,Genoa,Italy,679613,6827,-0.42
818,Tirupati,India,679456,6539,3.90
819,Bunia,Dr Congo,679418,636625,6.72
820,Yuyao,China,678841,6603,2.54
821,Yan'an,China,678619,646393,4.99
822,Jundiai,Brazil,678521,668381,1.52
823,Nantes,France,677766,669843,1.18
824,Liege,Belgium,677589,6753,0.32
825,Dongtai,China,676996,655472,3.28
826,Lodz,Poland,676830,682458,-0.82
827,Durgapur,India,675384,664915,1.57
828,Yuncheng,China,675082,646283,4.46
829,Nashville,United States,674634,68,0.57
830,Dengzhou,China,673626,642552,4.84
831,Gulbarga,India,673027,658535,2.20
832,Huambo,Angola,671413,656977,2.20
833,Al Hudaydah,Yemen,668899,649129,3.05
834,Buraydah,Saudi Arabia,668775,652396,2.51
835,Ezhou,China,668405,6638,1.11
836,Pontianak,Indonesia,667910,655595,1.88
837,Detroit,United States,667085,6031,-0.44
838,Merca,Somalia,666370,637357,4.55
839,Mar Del Plata,Argentina,665707,6594,0.95
840,Akure,Nigeria,665524,641733,3.71
841,Kurnool,India,665186,644449,3.22
842,Malanje,Angola,665150,626862,6.11
843,Santiago,Dominican Republic,664575,657179,1.13
844,Jeonju,South Korea,663145,6628,0.04
845,Yuxi,China,662863,6311,5.03
846,Oklahoma City,United States,662202,6557,1.09
847,Las Vegas,United States,659410,651319,1.24
848,Portland,United States,658645,654741,0.60
849,Tabuk,Saudi Arabia,657277,6474,1.52
850,Zhangjiagang,China,656036,627897,4.48
851,Lattakia,Syria,655714,645186,1.63
852,Amara,Iraq,655663,631442,3.84
853,Taicang,China,654441,628692,4.10
854,Busto Arsizio,Italy,654258,65,0.57
855,General Santos City,Philippines,652723,6361,1.93
856,Macao,Macau,651875,64,1.52
857,Izhevsk,Russia,651338,6579,0.04
858,Memphis,United States,651042,6573,-0.00
859,Zhoukou,China,650060,628346,3.46
860,Ibb,Yemen,648889,7531,6.81
861,Zhoushan,China,647419,635411,1.89
862,Neijiang,China,645874,638674,1.13
863,Denizli,Turkey,644782,628432,2.60
864,Jamnagar,India,644738,639662,0.79
865,Qinzhou,China,644359,626663,2.82
866,Jhansi,India,642709,632166,1.67
867,Samsun,Turkey,642592,623644,3.04
868,Chongjin,North Korea,642447,639743,0.42
869,Tamale,Ghana,641911,6116,4.92
870,Wroclaw,Poland,641401,6585,0.13
871,Doha,Qatar,641380,637347,0.63
872,Sokoto,Nigeria,641249,621694,3.15
873,Renqiu,China,640271,615759,3.98
874,Barnaul,Russia,639783,639126,0.10
875,Loudi,China,639167,6115,4.10
876,Hegang,China,638855,633811,0.80
877,Irkutsk,Russia,638843,6358,0.47
878,As Suways,Egypt,638229,627455,1.72
879,Bulawayo,Zimbabwe,638188,638467,-0.04
880,Bijie,China,637795,612321,4.16
881,Be'er Sheva,Israel,637539,6352,1.03
882,Chiclayo,Peru,637255,6292,1.27
883,Venezia,Italy,637245,636244,0.16
884,Ankang,China,636293,5136,5.15
885,Erode,India,634977,622398,2.02
886,Manama,Bahrain,634508,0433,5.68
887,Goma,Dr Congo,634197,5998,5.84
888,Bokaro Steel City,India,633551,625824,1.23
889,Pachuca De Soto,Mexico,633453,66,2.07
890,Khabarovsk,Russia,633151,629682,0.55
891,Stuttgart,Germany,632692,631453,0.20
892,Puyang,China,632347,60,3.66
893,Duesseldorf,Germany,631942,628459,0.55
894,Longhai,China,631203,6799,4.02
895,Durango,Mexico,630982,619119,1.92
896,Riga,Latvia,630692,6338,-0.49
897,Belfast,United Kingdom,630632,6267,0.62
898,Wuhai,China,630295,6156,2.35
899,Safaqis,Tunisia,630175,624146,0.97
900,Verona,Italy,629658,6258,0.60
901,Tongxiang,China,629527,22,4.53
902,Jambi,Indonesia,626192,615859,1.68
903,Haimen,China,626067,6263,3.27
904,Hezhou,China,625304,595675,4.97
905,Sanya,China,625290,5586,3.25
906,Ulyanovsk,Russia,624896,625837,-0.15
907,Raurkela,India,622636,6147,1.28
908,Bari,Italy,622377,622287,0.01
909,Seregno,Italy,619871,614571,0.86
910,Kolhapur,India,619358,6128,1.06
911,Kryvyi Rih,Ukraine,618706,623894,-0.83
912,Nasiriyah,Iraq,616994,0113,2.81
913,Louisville,United States,616781,617638,-0.14
914,Yulin Guangxi,China,613668,5882,1.29
915,Ajmer,India,613617,6616,1.15
916,Bacolod,Philippines,613437,2459,1.82
917,Geneva,Switzerland,613373,6436,1.14
918,Colombo,Sri Lanka,612535,6158,1.05
919,Yaroslavl,Russia,612365,612247,0.02
920,Kuching,Malaysia,611566,2427,1.52
921,Al Ain,United Arab Emirates,610887,598368,2.09
922,Gothenburg,Sweden,610521,65,1.24
923,Zahedan,Iran,609873,3634,1.03
924,Vladivostok,Russia,609754,99,-0.03
925,San Jose Del Monte,Philippines,607692,0251,1.24
926,Ujjain,India,607055,596869,1.71
927,Brighton,United Kingdom,606909,1574,0.89
928,Bandar Abbas,Iran,606633,585287,3.65
929,Jubayl,Saudi Arabia,605743,5792,4.57
930,Herat,Afghanistan,605575,5756,5.17
931,Hanzhong,China,605327,592759,2.12
932,Miluo,China,604159,568421,6.29
933,Hillah,Iraq,604149,594261,1.66
934,Feira De Santana,Brazil,602128,593981,1.37
935,Anshun,China,600121,5847,3.32
936,Bilaspur,India,599812,583279,2.83
937,Makhachkala,Russia,599792,598979,0.14
938,Bissau,Guinea Bissau,599714,578829,3.61
939,Jinzhong,China,599611,581798,3.06
940,Patiala,India,599186,581771,2.99
941,Yichun Heilongjiang,China,598465,5399,-1.15
942,Bauchi,Nigeria,597679,575617,3.83
943,Tlaxcala,Mexico,596362,586129,1.75
944,Tomsk,Russia,595642,54,0.87
945,Skopje,Macedonia,595275,589751,0.94
946,Siping,China,594482,584669,1.68
947,Nay Pyi Taw,Myanmar,593596,546487,8.62
948,Sihui,China,591080,562577,5.07
949,Leipzig,Germany,591052,585246,0.99
950,Kagoshima,Japan,591042,593758,-0.46
951,Kingston,Jamaica,590940,589849,0.18
952,Sanliurfa,Turkey,590522,584693,1.00
953,Malaga,Spain,590032,588778,0.21
954,Uvira,Dr Congo,589731,557567,5.77
955,Dortmund,Germany,589600,589457,0.02
956,Milwaukee,United States,588939,5157,-0.21
957,Comilla,Bangladesh,588772,568563,3.55
958,Cuiaba,Brazil,588566,585825,0.47
959,Xiantao,China,588540,583836,0.81
960,Mathura,India,588334,573517,2.58
961,Enshi,China,586667,553318,6.03
962,Ibague,Colombia,586187,5817,0.76
963,Catania,Italy,585877,585825,0.01
964,Shishi,China,585317,572218,2.29
965,Fuqing,China,584631,5716,2.26
966,Baltimore,United States,584537,5934,-1.51
967,Sangli,India,583629,575879,1.35
968,Essen,Germany,582128,582777,-0.11
969,Pereira,Colombia,579620,579577,0.01
970,Calabar,Nigeria,579273,554887,4.39
971,Toulon,France,579095,5771,0.33
972,Qitaihe,China,578992,5264,1.53
973,Samarkand,Uzbekistan,578762,565832,2.29
974,Daye,China,578374,563779,2.59
975,Samut Sakhon,Thailand,578273,54,1.36
976,Cabimas,Venezuela,578222,567757,1.84
977,Hamadan,Iran,577808,571287,1.14
978,Jingjiang,China,577513,555332,3.99
979,Sanhe,China,576241,5471,5.31
980,Djibouti,Djibouti,576157,5684,1.29
981,Xinmi,China,575696,5497,4.72
982,Imphal,India,575625,557632,3.23
983,Juiz De Fora,Brazil,575481,569996,0.96
984,Dresden,Germany,575476,569424,1.06
985,Agartala,India,575073,5540,3.67
986,Tonghua,China,572967,5608,1.95
987,Abakaliki,Nigeria,572028,5458,5.33
988,Bouake,Ivory Coast,571876,564745,1.26
989,Udon Thani,Thailand,570115,5630,1.16
990,Beira,Mozambique,569911,556499,2.41
991,Udaipur,India,569224,5587,1.88
992,Vellore,India,569048,559693,1.67
993,Orenburg,Russia,568812,568599,0.04
994,Anyang,South Korea,567945,571888,-0.69
995,Ardabil,Iran,567912,557544,1.86
996,Likasi,Dr Congo,567839,5515,2.96
997,Bloemfontein,South Africa,567029,5564,1.90
998,Dongyang,China,566083,553572,2.26
999,Mbeya,Tanzania,566065,5637,4.70
1000,Hebi,China,565986,555886,1.82
1001,Kemerovo,Russia,565759,564347,0.25
1002,Tirunelveli,India,565735,558182,1.35
1003,Cenxi,China,565509,537757,5.16
1004,Yazd,Iran,565449,555793,1.74
1005,Bremen,Germany,565354,5642,0.19
1006,Gaya,India,565253,5553,1.78
1007,Poza Rica De Hidalgo,Mexico,564578,558965,1.00
1008,Jalgaon,India,564540,552922,2.10
1009,Shuozhou,China,563456,542198,3.92
1010,Santa Fe,Argentina,562917,555753,1.29
1011,Matamoros,Mexico,562755,554922,1.41
1012,Kitchener,Canada,562466,553973,1.53
1013,Zaoyang,China,562379,548745,2.48
1014,Albuquerque,United States,561397,5513,0.16
1015,Sanmenxia,China,561369,543195,3.35
1016,Cangzhou,China,560962,553694,1.31
1017,Thoothukkudi,India,560930,543853,3.14
1018,Xinyi,China,559613,541482,3.35
1019,Basel,Switzerland,559027,555469,0.64
1020,Yiyang Hunan,China,558615,5947,3.27
1021,Oujda,Morocco,558524,546962,2.11
1022,Gomel,Belarus,557589,552354,0.95
1023,Irbid,Jordan,556899,553576,0.60
1024,Al Mansurah,Egypt,555621,546574,1.66
1025,Karbala,Iraq,555073,545987,1.66
1026,Meknes,Morocco,553755,547396,1.16
1027,Weinan,China,553302,542115,2.06
1028,Leicester,United Kingdom,552178,547352,0.88
1029,Jiaozhou,China,551500,5348,3.16
1030,Ogbomosho,Nigeria,551474,527194,4.61
1031,Feicheng,China,551319,542285,1.67
1032,Arak,Iran,551006,542824,1.51
1033,Novokuznetsk,Russia,550575,551987,-0.26
1034,Zhaodong,China,550240,527598,4.29
1035,Chiang Rai,Thailand,549966,542578,1.36
1036,Kota Kinabalu,Malaysia,549586,536285,2.48
1037,Hamhung,North Korea,548992,553224,-0.76
1038,Panipat,India,547952,536422,2.15
1039,Khamis Mushayt,Saudi Arabia,547724,5396,1.45
1040,Kahramanmaras,Turkey,546688,533434,2.48
1041,Tongchuan,China,546649,537167,1.77
1042,Tepic,Mexico,545941,533572,2.32
1043,Utrecht,Netherlands,544389,536473,1.48
1044,Shouguang,China,544207,5363,1.47
1045,Port Of Spain,Trinidad And Tobago,544207,544259,-0.01
1046,Villavicencio,Colombia,544115,5342,1.84
1047,Rajahmundry,India,543729,536298,1.39
1048,Ndola,Zambia,542495,5347,2.16
1049,Kerman,Iran,541485,539893,0.29
1050,Tucson,United States,541482,541482,0.00
1051,Dengfeng,China,540789,9717,6.10
1052,Ryazan,Russia,540317,52,-0.03
1053,Sakarya,Turkey,539445,524986,2.75
1054,Guangyuan,China,539179,55,3.51
1055,Chaoyang,China,539052,531831,1.36
1056,Vilnius,Lithuania,538894,537563,0.25
1057,Rayong,Thailand,538150,5921,1.36
1058,Gaozhou,China,537329,512852,4.77
1059,Hannover,Germany,536976,536498,0.09
1060,San Juan,Argentina,536913,532634,0.80
1061,Edinburgh,United Kingdom,536775,5741,1.14
1062,Cuito,Angola,535407,1936,6.67
1063,Astrakhan,Russia,534947,535191,-0.05
1064,Naberezhnye Tchelny,Russia,534726,5347,0.08
1065,Sukkur,Pakistan,534486,524179,1.97
1066,Larkana,Pakistan,534288,519899,2.77
1067,Valledupar,Colombia,533453,5181,2.95
1068,Bamenda,Cameroon,533257,5138,3.78
1069,Basilan City,Philippines,533135,517687,2.98
1070,Abeokuta,Nigeria,532856,523653,1.76
1071,Mazar E Sharif,Afghanistan,532689,1665,6.18
1072,Poznan,Poland,531030,533731,-0.51
1073,Namangan,Uzbekistan,528763,52,1.47
1074,Imus,Philippines,527779,13,5.28
1075,Grenoble,France,527720,524853,0.55
1076,Haining,China,527655,512822,2.89
1077,Santa Marta,Colombia,527326,56,1.28
1078,Surakarta,Indonesia,527279,523581,0.71
1079,Pietermaritzburg,South Africa,526912,521419,1.05
1080,Yongkang,China,526069,8796,3.39
1081,Pingdu,China,525093,5125,2.15
1082,Fresno,United States,525010,52,0.00
1083,Taishan,China,524937,5086,2.91
1084,Calamba,Philippines,524577,9898,2.88
1085,Mekele,Ethiopia,523914,5485,3.65
1086,Heyuan,China,523818,515422,1.63
1087,Ar Rusayfah,Jordan,523543,5419,0.60
1088,Penza,Russia,523092,524131,-0.20
1089,Utsunomiya,Japan,522100,522331,-0.04
1090,Chuzhou,China,522062,7265,2.92
1091,Vale Do Aco,Brazil,521744,517889,0.74
1092,Al Raqqa,Syria,521537,513163,1.63
1093,Bellary,India,520926,8535,2.44
1094,Longkou,China,520568,54,2.98
1095,Qingzhou,China,520371,4795,3.09
1096,Kalasin,Thailand,517635,5681,1.36
1097,Al Mahallah Al Kubra,Egypt,517549,5117,1.13
1098,Sheikhupura,Pakistan,517342,4174,2.61
1099,Cuautla Morelos,Mexico,516755,21,1.72
1100,Puerto Vallarta,Mexico,515909,12,2.92
1101,Atlanta,United States,515439,6811,1.70
1102,Duisburg,Germany,515076,5611,0.87
1103,Balashikha,Russia,514662,0,0
1104,Dali,China,514610,0,0
1105,Shizuishan,China,514455,1894,2.50
1106,Kakinada,India,514227,6331,1.56
1107,Ambon,Indonesia,513457,0,0
1108,Diwaniyah,Iraq,513369,0,0
1109,Songyuan,China,513231,78,1.15
1110,Kirov,Russia,513003,5777,0.44
1111,Nurenberg,Germany,511941,5122,-0.02
1112,Davanagere,India,511843,3318,1.69
1113,Qianjiang,China,511738,3238,1.69
1114,Gongyi,China,511410,0,0
1115,Van,Turkey,511391,0,0
1116,Shangyu,China,510813,0,0
1117,Uige,Angola,510631,0,0
1118,Porto Velho,Brazil,510419,0,0
1119,Changning,China,510275,0,0
1120,Matsuyama,Japan,509958,511745,-0.35
1121,Angeles City,Philippines,509765,0,0
1122,Rustenburg,South Africa,509368,0,0
1123,Gombe,Nigeria,508575,0,0
1124,Londonca,Canada,508230,5325,0.57
1125,Gaoyou,China,507934,0,0
1126,Yanshi,China,507643,0,0
1127,Kikwit,Dr Congo,507462,0,0
1128,Lipetsk,Russia,507291,8968,-0.33
1129,Al Mukalla,Yemen,506356,0,0
1130,Cheboksary,Russia,505870,2323,0.71
1131,Bournemouth,United Kingdom,505687,1288,0.88
1132,Laixi,China,505117,0,0
1133,Mataram,Indonesia,505024,0,0
1134,Karaganda,Kazakhstan,504946,5426,-0.09
1135,Muzaffarpur,India,504158,0,0
1136,El Djelfa,Algeria,503397,0,0
1137,Nakhon Pathom,Thailand,503271,0,0
1138,Shuangyashan,China,503179,0,0
1139,Kuantan,Malaysia,502866,0,0
1140,Khon Kaen,Thailand,502594,0,0
1141,Tanta,Egypt,501423,0,0
1142,Sacramento,United States,500930,09,0.00
1143,Chuxiong,China,500867,0,0
1144,Douai Lens,France,500776,78,-0.06
1145,Ziyang,China,500094,0,0
