Rank,City,Country,2020,2019,Change
135,Kampala,Uganda,3298364,31376,5.12
136,Abuja,Nigeria,3277740,95118,5.90
137,Wuxi,China,3256020,3198981,1.78
138,Mashhad,Iran,3208336,3152482,1.77
139,Puebla,Mexico,3194848,3145456,1.57
140,Durban,South Africa,3158313,3144573,0.44
141,Athens,Greece,3153355,3154152,-0.03
142,Dakar,Senegal,3140442,565,2.73
143,Milan,Italy,3140181,31377,0.13
144,Kanpur,India,3123990,30285,0.76
145,Kuwait City,Kuwait,3114553,52493,2.03
146,Pyongyang,North Korea,3084244,864,0.76
147,Kochi,India,3082055,2969638,3.79
148,Lanzhou,China,3080522,07613,2.42
149,Thrissur,India,3068164,29761,5.05
150,Port Harcourt,Nigeria,3020232,2873322,5.11
151,Indore,India,3016713,2919295,3.34
152,Guayaquil,Ecuador,2994218,2946158,1.63
153,Izmir,Turkey,2992953,2963754,0.99
154,Kiev,Ukraine,2988176,2973335,0.50
155,Sanaa,Yemen,2972988,2874373,3.43
156,Lisbon,Portugal,2956879,29497,0.50
157,Surabaya,Indonesia,2944403,29216,0.78
158,Caracas,Venezuela,2938992,29351,0.12
159,Guatemala City,Guatemala,2934841,28912,1.51
160,Shizuoka,Japan,2922320,2911784,0.36
161,Zhongshan,China,2913974,28965,0.80
162,Nagpur,India,2893455,2849572,1.54
163,Dubai,United Arab Emirates,2878344,28379,1.60
164,Incheon,South Korea,2801039,2782612,0.66
165,Coimbatore,India,2786600,2713233,2.70
166,Cali,Colombia,2781980,27578,1.01
167,Ouagadougou,Burkina Faso,2780331,26527,4.81
168,Lusaka,Zambia,2774133,2646619,4.82
169,Port Au Prince,Haiti,2773553,24187,2.57
170,Algiers,Algeria,2767661,2729325,1.40
171,Manchester,United Kingdom,2730076,27074,0.74
172,Depok,Indonesia,2727209,2615154,4.28
173,Handan,China,2726835,2627364,3.79
174,Taibei,Taiwan,2721485,2713112,0.31
175,Goiania,Brazil,2690011,2628413,2.34
176,Chicago,United States,2686530,26939,-0.28
177,Sapporo,Japan,2669680,2667852,0.07
178,Huaian,China,2655320,2537652,4.64
179,Weifang,China,2653989,25068,3.67
180,Zibo,China,2639735,2596275,1.67
181,Bamako,Mali,2617686,2529328,3.49
182,Birmingham,United Kingdom,2607437,2588566,0.73
183,Thiruvananthapuram,India,2584752,2476928,4.35
184,Vancouver,Canada,2581079,2555884,0.99
185,Bandung,Indonesia,2580191,2557561,0.88
186,Pretoria,South Africa,2565660,2472612,3.76
187,Shaoxing,China,2540018,2444934,3.89
188,Yantai,China,2526702,2442581,3.44
189,Mbuji Mayi,Dr Congo,2525263,2412532,4.67
190,Huizhou,China,2524543,2441944,3.38
191,Tashkent,Uzbekistan,2517381,24334,1.09
192,Accra,Ghana,2514005,24758,1.57
193,Lubumbashi,Dr Congo,2478262,2377495,4.24
194,Toluca De Lerdo,Mexico,2467241,24875,2.34
195,San Juan,Puerto Rico,2448417,2451375,-0.12
196,Patna,India,2436447,2393476,1.80
197,Beirut,Lebanon,2424425,26875,0.73
198,Brisbane,Australia,2406182,2372335,1.43
199,Damascus,Syria,2392045,2353637,1.63
200,Bhopal,India,2389547,23336,2.42
201,Brazzaville,Republic Of The Congo,2388090,276,3.47
202,Luoyang,China,2387094,2311242,3.28
203,Tunis,Tunisia,2365201,2327822,1.61
204,Baku,Azerbaijan,2341443,2313138,1.22
205,Tangerang,Indonesia,2338547,22796,2.57
206,Medan,Indonesia,2337958,23522,1.19
207,Belem,Brazil,2334462,27615,1.16
208,Sendai,Japan,2327417,2317722,0.42
209,Houston,United States,2321960,232,0.07
210,Mogadishu,Somalia,2282009,2179855,4.69
211,Nantong,China,2275777,2199133,3.49
212,Barranquilla,Colombia,2272914,2245912,1.20
213,Manaus,Brazil,2260788,2216713,1.99
214,Maracaibo,Venezuela,2257999,2218693,1.77
215,Taoyuan,Taiwan,2245162,2217749,1.24
216,Rawalpindi,Pakistan,2236905,21955,1.88
217,Gujranwala,Pakistan,2229220,21689,2.78
218,Agra,India,2210246,21593,2.33
219,Peshawar,Pakistan,2202946,2133382,3.26
220,Daegu,South Korea,2198962,29367,-0.47
221,Baotou,China,2190495,21427,2.23
222,Vadodara,India,2189973,21491,1.90
223,Naples,Italy,2186853,21916,-0.23
224,Visakhapatnam,India,2174968,2124948,2.35
225,Kannur,India,2166906,279,2.83
226,Liuzhou,China,2165257,236,2.94
227,Hohhot,China,2163394,85969,3.71
228,Amman,Jordan,2148293,289,1.89
229,Xuzhou,China,2145970,998,2.22
230,Havana,Cuba,2140423,2138419,0.09
231,Tijuana,Mexico,2140398,99293,1.96
232,Esfahan,Iran,2132037,86356,2.19
233,Hiroshima,Japan,2083223,89157,-0.28
234,Brussels,Belgium,2080788,65284,0.75
235,Phnom Penh,Cambodia,2077757,115,3.16
236,Grande Vitoria,Brazil,2075857,39962,1.76
237,Nashik,India,2065728,08598,2.84
238,Mecca,Saudi Arabia,2042106,04888,1.86
239,Perth,Australia,2041959,16415,1.27
240,Vijayawada,India,2039845,1975188,3.27
241,Minsk,Belarus,2028104,16677,0.57
242,Multan,Pakistan,2015091,1972432,2.16
243,Yangzhou,China,1992773,1946377,2.38
244,Bursa,Turkey,1986268,1951161,1.80
245,Baoding,China,1975790,19324,2.26
246,Conakry,Guinea,1938272,1889233,2.60
247,Linyi Shandong,China,1936908,1889824,2.49
