Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,19.0122047605919,31.8291103758846,46.1315029255889,47.7305639800263,49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,119.946788321168,112.738211678832,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,10.8151473292635,13.0334272422683,15.3927145700202,15.6960402898721,16.0135581549623,16.3425424269652,16.680252672416,17.0259574932612,17.3777146120063,17.7300750711665,..,..
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,236.735,289.105,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,115.976595744681,139.127659574468,178.185106382979,175.376595744681,171.859574468085,168.53829787234,165.98085106383,164.46170212766,163.831914893617,163.842553191489,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,9.50379882890832,13.1510972968637,19.427818240154,20.1395131146226,20.8677147669848,21.6104748536135,22.3665524985963,23.1350637683484,23.9165380604797,24.7130520574316,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,142.109090909091,172.763636363636,202.847727272727,205.475,207.990909090909,210.368181818182,212.65,214.834090909091,216.877272727273,218.831818181818,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,11.9190156722172,13.4727671018639,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,124.277168949772,107.818440463646,101.03751317176,101.307657183,101.77674745346,102.297260273973,102.759149982438,103.131225851774,103.435511064278,103.680224798033,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,345.272222222222,504.738888888889,566.922222222222,569.777777777778,573.105555555556,576.522222222222,579.672222222222,582.622222222222,585.366666666667,588.027777777778,..,..
